Order_ID,Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Revenue,Year,Month,Month_Name,Quarter,Day_of_Week
ORD00001,2023-04-19,CUST7404,Yoga Mat,Sports,South,8,73.13,585.05,2023,4,April,2,Wednesday
ORD00002,2022-01-16,CUST6335,Dress,Clothing,East,7,143.3,1003.12,2022,1,January,1,Sunday
ORD00003,2023-05-01,CUST6097,Plant Pot,Home & Garden,East,10,109.81,1098.08,2023,5,May,2,Monday
ORD00004,2023-05-13,CUST4158,Headphones,Electronics,West,4,1173.34,4693.35,2023,5,May,2,Saturday
ORD00005,2023-04-15,CUST9896,Tablet,Electronics,North,7,339.49,2376.44,2023,4,April,2,Saturday
ORD00006,2022-09-10,CUST9340,Tennis Racket,Sports,South,9,41.87,376.86,2022,9,September,3,Saturday
ORD00007,2023-06-16,CUST1488,Lamp,Home & Garden,East,4,195.74,782.97,2023,6,June,2,Friday
ORD00008,2022-04-04,CUST4139,Yoga Mat,Sports,East,6,68.86,413.17,2022,4,April,2,Monday
ORD00009,2023-12-21,CUST3437,Cookbook,Books,South,3,37.56,112.69,2023,12,December,4,Thursday
ORD00010,2023-11-13,CUST6055,Jeans,Clothing,West,2,93.21,186.42,2023,11,November,4,Monday
ORD00011,2022-08-02,CUST6143,T-Shirt,Clothing,South,8,33.67,269.33,2022,8,August,3,Tuesday
ORD00012,2023-07-25,CUST8521,Headphones,Electronics,South,10,875.26,8752.63,2023,7,July,3,Tuesday
ORD00013,2022-12-20,CUST2753,Lamp,Home & Garden,East,8,276.95,2215.59,2022,12,December,4,Tuesday
ORD00014,2022-11-26,CUST7086,Fiction Novel,Books,North,5,15.11,75.56,2022,11,November,4,Saturday
ORD00015,2023-01-07,CUST7532,Science Book,Books,North,7,29.67,207.66,2023,1,January,1,Saturday
ORD00016,2023-11-14,CUST4783,Cookbook,Books,North,5,28.92,144.6,2023,11,November,4,Tuesday
ORD00017,2022-06-01,CUST4068,Fiction Novel,Books,East,6,26.46,158.76,2022,6,June,2,Wednesday
ORD00018,2022-01-22,CUST1369,Board Game,Toys,West,4,94.54,378.14,2022,1,January,1,Saturday
ORD00019,2023-10-10,CUST1374,Puzzle,Toys,East,5,33.37,166.86,2023,10,October,4,Tuesday
ORD00020,2022-07-31,CUST7813,Headphones,Electronics,North,2,420.22,840.44,2022,7,July,3,Sunday
