Order_ID,Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Revenue
ORD00001,2023-04-19,CUST7404,Yoga Mat,Sports,South,8,73.13,585.05
ORD00002,2022-01-16,CUST6335,Dress,Clothing,East,7,143.3,1003.12
ORD00003,2023-05-01,CUST6097,Plant Pot,Home & Garden,East,10,109.81,1098.08
ORD00004,2023-05-13,CUST4158,Headphones,Electronics,West,4,1173.34,4693.35
ORD00005,2023-04-15,CUST9896,Tablet,Electronics,North,7,339.49,2376.44
ORD00006,2022-09-10,CUST9340,Tennis Racket,Sports,South,9,41.87,376.86
ORD00007,2023-06-16,CUST1488,Lamp,Home & Garden,East,4,195.74,782.97
ORD00008,2022-04-04,CUST4139,Yoga Mat,Sports,East,6,68.86,413.17
ORD00009,2023-12-21,CUST3437,Cookbook,Books,South,3,37.56,112.69
ORD00010,2023-11-13,CUST6055,Jeans,Clothing,West,2,93.21,186.42
ORD00011,2022-08-02,CUST6143,T-Shirt,Clothing,South,8,33.67,269.33
ORD00012,2023-07-25,CUST8521,Headphones,Electronics,South,10,875.26,8752.63
ORD00013,2022-12-20,CUST2753,Lamp,Home & Garden,East,8,276.95,2215.59
ORD00014,2022-11-26,CUST7086,Fiction Novel,Books,North,5,15.11,75.56
ORD00015,2023-01-07,CUST7532,Science Book,Books,North,7,29.67,207.66
ORD00016,2023-11-14,CUST4783,Cookbook,Books,North,5,28.92,144.6
ORD00017,2022-06-01,CUST4068,Fiction Novel,Books,East,6,26.46,158.76
ORD00018,2022-01-22,CUST1369,Board Game,Toys,West,4,94.54,378.14
ORD00019,2023-10-10,CUST1374,Puzzle,Toys,East,5,33.37,166.86
ORD00020,2022-07-31,CUST7813,Headphones,Electronics,North,2,420.22,840.44
ORD00021,2023-06-18,CUST4019,Smart Watch,Electronics,South,8,484.98,3879.81
ORD00022,2023-10-06,CUST4180,LEGO Set,Toys,North,10,24.49,244.94
ORD00023,2023-08-02,CUST5375,Plant Pot,Home & Garden,West,2,40.29,80.57
ORD00024,2022-05-24,CUST2692,Running Shoes,Sports,East,9,42.87,385.86
ORD00025,2023-11-10,CUST6377,T-Shirt,Clothing,North,4,68.33,273.3
ORD00026,2022-05-03,CUST9126,Chair,Home & Garden,West,6,289.88,1739.26
ORD00027,2022-02-25,CUST8988,Lamp,Home & Garden,North,4,96.89,387.57
ORD00028,2022-02-25,CUST1656,Tablet,Electronics,North,7,1207.61,8453.28
ORD00029,2023-02-02,CUST3615,Jeans,Clothing,East,9,42.14,379.28
ORD00030,2023-09-15,CUST1188,Tennis Racket,Sports,East,10,156.39,1563.89
ORD00031,2023-10-27,CUST9605,Chair,Home & Garden,North,8,276.21,2209.71
ORD00032,2023-02-03,CUST4563,Biography,Books,West,1,16.4,16.4
ORD00033,2023-08-12,CUST9107,Jeans,Clothing,South,6,129.04,774.26
ORD00034,2022-06-17,CUST6933,Puzzle,Toys,North,8,47.34,378.75
ORD00035,2022-09-13,CUST6264,LEGO Set,Toys,North,3,51.75,155.25
ORD00036,2023-01-11,CUST8713,Rug,Home & Garden,East,4,95.22,380.89
ORD00037,2023-08-04,CUST7268,Yoga Mat,Sports,East,5,38.43,192.14
ORD00038,2022-03-11,CUST4958,Smart Watch,Electronics,North,6,651.86,3911.19
ORD00039,2023-06-20,CUST3006,Yoga Mat,Sports,North,5,183.01,915.07
ORD00040,2023-09-14,CUST8722,Action Figure,Toys,South,7,82.32,576.24
ORD00041,2022-12-17,CUST8100,LEGO Set,Toys,South,4,51.77,207.09
ORD00042,2023-07-04,CUST7056,Headphones,Electronics,South,1,564.0,564.0
ORD00043,2022-02-15,CUST6933,Shoes,Clothing,South,10,52.17,521.68
ORD00044,2022-11-05,CUST8437,LEGO Set,Toys,East,7,66.6,466.2
ORD00045,2023-12-29,CUST2515,Laptop,Electronics,North,3,614.03,1842.1
ORD00046,2022-08-26,CUST8177,Tennis Racket,Sports,North,2,152.01,304.02
ORD00047,2023-11-16,CUST6289,Dress,Clothing,East,10,136.23,1362.31
ORD00048,2022-09-17,CUST7004,Puzzle,Toys,North,2,99.74,199.47
ORD00049,2022-02-05,CUST5991,Biography,Books,West,6,17.91,107.48
ORD00050,2023-04-23,CUST6589,Mirror,Home & Garden,West,6,247.0,1481.97
ORD00051,2023-02-07,CUST7876,Biography,Books,South,9,44.52,400.67
ORD00052,2022-02-14,CUST2449,Running Shoes,Sports,West,5,75.66,378.3
ORD00053,2023-07-16,CUST6954,Fiction Novel,Books,South,4,22.2,88.81
ORD00054,2022-02-13,CUST4041,Tennis Racket,Sports,East,2,56.56,113.12
ORD00055,2023-06-10,CUST6024,Basketball,Sports,North,6,197.41,1184.49
